,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
315,alofi,58,NU,1602430333,100,-19.06,-169.92,22.0,6.2
497,eureka,1,US,1602430632,100,40.8,-124.16,10.0,1.5
444,uyaan,100,PH,1602430780,100,7.86,124.04,17.98,1.35
213,ulladulla,75,AU,1602430730,100,-35.35,150.47,14.44,2.6
224,aykhal,90,RU,1602430733,100,66.0,111.5,-9.0,1.0
247,udachnyy,90,RU,1602430737,100,66.42,112.4,-9.0,1.0
365,hasaki,75,JP,1602430258,100,35.73,140.83,19.0,5.1
197,belyy yar,40,RU,1602430314,100,53.6,91.39,2.0,1.0
355,santa rosa,90,PH,1602430761,100,14.31,121.11,25.0,1.5
147,marystown,100,CA,1602430717,100,47.17,-55.15,17.22,6.26
508,bonnyville,90,CA,1602430793,100,54.27,-110.73,1.0,5.1
82,port hardy,90,CA,1602430237,100,50.7,-127.42,8.0,4.6
75,sualkuchi,75,IN,1602430703,100,26.17,91.57,28.0,1.13
448,roswell,90,US,1602430781,100,34.02,-84.36,21.11,3.6
501,mont-dore,52,NC,1602430791,99,-22.28,166.58,25.0,2.75
35,dikson,100,RU,1602430254,99,73.51,80.55,2.66,5.7
327,virginia beach,100,US,1602430543,99,36.85,-75.98,21.67,3.35
474,falam,15,MM,1602430786,99,22.92,93.68,15.96,0.79
89,khatanga,100,RU,1602430239,98,71.97,102.5,-5.43,5.9
411,zyryanskoye,100,RU,1602430773,98,56.83,86.63,-0.02,3.57
404,leningradskiy,100,RU,1602430276,98,69.38,178.42,-1.09,1.98
2,fortuna,0,US,1602430303,97,40.6,-124.16,10.56,1.22
268,igarka,100,RU,1602430742,96,67.47,86.58,-5.42,6.81
278,turukhansk,100,RU,1602430744,96,65.82,87.98,-5.86,5.12
267,kampong cham,100,KH,1602430742,96,11.99,105.46,23.31,0.56
389,yerbogachen,30,RU,1602430768,96,61.28,108.01,-4.5,1.53
239,norman wells,90,CA,1602430234,96,65.28,-126.83,0.0,3.56
39,yar-sale,100,RU,1602430298,96,66.83,70.83,5.05,6.34
69,saskylakh,89,RU,1602430239,96,71.92,114.08,-9.02,3.06
466,soe,38,ID,1602430784,95,-9.86,124.28,19.23,1.93
228,egvekinot,49,RU,1602430245,95,66.32,-179.17,-3.17,7.89
526,ural,0,RU,1602430796,95,55.91,94.75,-5.81,0.97
179,chokurdakh,53,RU,1602430246,95,70.63,147.92,-8.2,1.61
132,pevek,98,RU,1602430229,95,69.7,170.31,-2.13,1.98
368,toora-khem,90,RU,1602430764,95,52.47,96.11,-3.23,1.28
286,mon,46,IN,1602430746,95,26.75,95.1,21.37,1.47
81,yellowknife,90,CA,1602430197,95,62.46,-114.35,1.67,5.1
316,fort nelson,75,CA,1602430249,95,58.81,-122.7,1.0,1.5
208,kargat,100,RU,1602430729,95,55.2,80.28,4.8,4.49
241,bambous virieux,75,MU,1602430247,94,-20.34,57.76,25.0,4.1
453,dumai,99,ID,1602430782,94,1.68,101.45,24.05,0.51
261,souillac,75,MU,1602430231,94,-20.52,57.52,24.0,4.1
199,tatarsk,99,RU,1602430728,94,55.22,75.98,7.66,3.2
336,beya,83,RU,1602430758,94,53.05,90.91,0.57,2.49
26,mahebourg,75,MU,1602430246,94,-20.41,57.7,24.0,4.1
56,tiksi,46,RU,1602430260,94,71.69,128.87,-11.11,4.15
173,cherskiy,18,RU,1602430241,94,68.75,161.3,-7.43,3.76
320,nyurba,42,RU,1602430754,94,63.28,118.33,-5.52,0.21
16,avarua,88,CK,1602430263,94,-21.21,-159.78,22.0,2.1
493,havelock,90,US,1602430790,94,34.88,-76.9,22.78,4.8
76,kaitangata,50,NZ,1602430244,93,-46.28,169.85,9.6,3.24
359,monterey,90,US,1602430762,93,36.25,-121.25,15.0,2.1
289,bronkhorstspruit,100,ZA,1602430747,93,-25.81,28.74,14.0,4.6
66,narsaq,75,GL,1602430701,93,60.92,-46.05,4.0,1.0
514,umea,90,SE,1602430794,93,63.83,20.26,9.0,2.1
371,emerald,90,AU,1602430764,93,-23.53,148.17,19.0,3.1
462,sitka,90,US,1602430276,93,57.05,-135.33,7.0,4.6
372,pacific grove,1,US,1602430765,93,36.62,-121.92,13.89,2.17
377,esperance,0,AU,1602430271,93,-33.87,121.9,10.0,1.5
20,mar del plata,90,AR,1602430163,93,-38.0,-57.56,12.0,6.2
473,necochea,100,AR,1602430236,93,-38.55,-58.74,12.78,3.58
443,skelleftea,90,SE,1602430779,93,64.75,20.95,8.33,2.6
481,frankenburg,100,AT,1602430787,93,48.07,13.49,6.11,1.34
108,thompson,75,CA,1602430081,93,55.74,-97.86,3.0,2.1
236,hofn,90,IS,1602430258,93,64.25,-15.21,8.0,6.2
379,high level,90,CA,1602430766,93,58.52,-117.14,3.0,3.1
388,mehamn,90,NO,1602430768,93,71.04,27.85,5.0,3.6
382,mount gambier,39,AU,1602430228,93,-37.83,140.77,9.0,3.6
378,palana,0,RU,1602430766,93,59.12,159.97,-0.82,2.59
171,dudinka,75,RU,1602430721,92,69.41,86.18,-5.0,11.0
299,pelym,16,RU,1602430750,92,61.01,62.0,7.14,2.5
332,codrington,1,AU,1602430284,92,-38.27,141.97,6.96,3.3
309,warrnambool,0,AU,1602430752,92,-38.38,142.48,8.33,4.7
410,zhaotong,100,CN,1602430772,92,27.32,103.72,10.37,2.85
129,inuvik,75,CA,1602430713,92,68.35,-133.72,-4.0,1.0
262,khelyulya,100,RU,1602430741,92,61.73,30.68,10.77,4.74
149,airai,74,TL,1602430266,92,-8.93,125.41,15.58,1.56
393,clyde river,90,CA,1602430330,92,70.47,-68.59,-1.0,5.1
291,japura,100,ID,1602430470,91,-0.32,102.35,24.6,1.09
118,shimoda,5,JP,1602430261,91,34.67,138.95,18.33,0.45
140,provideniya,100,RU,1602430239,91,64.38,-173.3,1.14,3.57
312,zemio,100,CF,1602430753,91,5.03,25.14,23.59,1.68
381,tura,76,IN,1602430243,91,25.52,90.22,23.69,0.57
343,pontianak,100,ID,1602430759,91,-0.03,109.33,25.37,1.75
14,mataura,83,NZ,1602430226,91,-46.19,168.86,11.67,4.92
430,tuatapere,95,NZ,1602430232,91,-46.13,167.68,11.67,4.92
53,bluff,84,NZ,1602430244,91,-46.6,168.33,11.67,4.92
498,te anau,97,NZ,1602430249,90,-45.42,167.72,8.19,0.91
152,biankouma,87,CI,1602430718,90,7.74,-7.61,25.4,1.26
484,yakeshi,82,CN,1602430228,90,49.28,120.73,-1.93,5.69
121,bengkulu,100,ID,1602430224,90,-3.8,102.27,24.36,1.61
458,whitehorse,90,CA,1602430586,90,60.72,-135.05,3.0,4.6
114,ilulissat,37,GL,1602430012,90,69.22,-51.1,5.0,6.2
73,yerofey pavlovich,85,RU,1602430702,90,53.97,121.97,-3.93,2.3
256,innisfail,52,AU,1602430740,90,-17.53,146.03,22.1,1.95
383,prado,100,BR,1602430767,90,-17.34,-39.22,22.73,5.56
65,dingle,100,PH,1602430247,90,11.0,122.67,24.35,0.95
305,long,74,TH,1602430751,90,18.08,99.83,23.74,0.84
263,mattru,73,SL,1602430741,89,7.62,-11.83,26.14,2.65
391,gua musang,100,MY,1602430768,89,4.88,101.96,24.29,0.49
457,polunochnoye,100,RU,1602430782,89,60.87,60.42,7.08,2.53
287,vao,78,NC,1602430250,89,-22.67,167.48,23.09,4.35
283,athabasca,100,CA,1602430746,89,54.72,-113.29,3.92,9.19
260,piney green,90,US,1602430506,88,34.72,-77.32,21.0,6.2
52,vaini,40,TO,1602430233,88,-21.2,-175.2,21.0,2.6
349,forio,75,IT,1602430760,88,40.73,13.86,18.0,3.6
190,lumut,20,MY,1602430725,88,4.23,100.63,27.0,1.1
354,puri,40,IN,1602430761,88,19.8,85.85,28.0,2.1
117,porto novo,40,BJ,1602430711,88,6.5,2.6,27.0,4.1
450,sibut,99,CF,1602430781,88,5.72,19.07,25.45,1.43
266,iqaluit,40,CA,1602430238,88,63.75,-68.51,3.0,8.2
