,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
357,mayo,90,US,1602448392,100,38.89,-76.51,21.0,1.87
27,benalla,75,AU,1602448318,100,-36.55,145.98,8.89,1.5
256,mar del plata,90,AR,1602448368,100,-38.0,-57.56,11.0,7.2
222,grindavik,90,IS,1602448361,100,63.84,-22.43,7.0,3.6
229,loviisa,90,FI,1602448362,100,60.46,26.23,9.0,1.0
205,ljungby,69,SE,1602448357,100,56.83,13.94,6.67,2.6
123,vejle,14,DK,1602448340,100,55.71,9.54,7.78,1.0
302,esperance,0,AU,1602448378,100,-33.87,121.9,7.0,2.1
188,port moresby,40,PG,1602448353,100,-9.44,147.18,26.0,5.1
108,vostok,100,RU,1602448337,100,46.49,135.88,5.7,0.96
142,surgut,90,RU,1602448255,100,61.25,73.42,3.0,3.0
57,svetlyy,99,RU,1602448325,100,54.67,20.13,4.0,2.0
342,ucluelet,90,CA,1602448134,100,48.93,-125.55,10.0,4.6
368,altotting,100,DE,1602448396,99,48.23,12.68,6.67,2.99
18,dikson,100,RU,1602448316,99,73.51,80.55,2.78,7.73
431,yanam,100,IN,1602448419,98,16.73,82.22,23.56,2.78
163,asau,24,RO,1602448348,98,46.43,26.4,12.22,0.88
9,khatanga,100,RU,1602448314,98,71.97,102.5,-4.72,5.83
415,staryy nadym,100,RU,1602448413,98,65.61,72.68,3.4,3.91
219,melukote,100,IN,1602448360,98,12.66,76.65,17.87,4.75
548,colac,27,AU,1602448464,98,-38.33,143.58,8.89,1.79
200,pangody,100,RU,1602448355,97,65.85,74.49,2.67,6.5
299,danane,97,CI,1602448377,97,7.26,-8.15,21.57,0.65
247,tabuny,100,RU,1602448367,97,52.78,78.79,6.39,2.36
478,ust-ilimsk,98,RU,1602448437,97,58.0,102.66,-5.14,2.55
106,zhigansk,89,RU,1602448337,97,66.77,123.37,-8.52,2.74
28,kampong chhnang,100,KH,1602448318,97,12.17,104.55,23.05,2.37
227,beringovskiy,100,RU,1602448362,97,63.05,179.32,0.34,11.18
244,tazovskiy,100,RU,1602448366,97,67.47,78.7,1.16,6.82
363,dovolnoye,100,RU,1602448394,97,54.5,79.67,5.57,3.0
335,catuday,100,PH,1602448385,97,16.29,119.81,24.9,7.8
149,necochea,93,AR,1602448345,97,-38.55,-58.74,10.56,3.58
382,verkhnevilyuysk,54,RU,1602448401,97,63.45,120.32,-6.63,1.54
21,leningradskiy,100,RU,1602448316,97,69.38,178.42,-1.57,0.57
175,turukhansk,100,RU,1602448350,97,65.82,87.98,-5.48,5.88
29,saskylakh,88,RU,1602448319,96,71.92,114.08,-8.84,3.35
166,vorkuta,94,RU,1602448348,96,67.5,64.0,5.43,4.16
437,chulym,100,RU,1602448421,96,55.1,80.96,4.91,4.1
527,kargasok,100,RU,1602448324,96,59.06,80.86,0.54,4.04
534,prabumulih,100,ID,1602448458,96,-3.45,104.25,22.94,0.49
432,pathein,6,MM,1602448419,95,16.78,94.73,23.75,2.15
278,shimoda,9,JP,1602448373,95,34.67,138.95,16.67,0.45
103,chokurdakh,89,RU,1602448336,95,70.63,147.92,-7.91,2.4
554,ereymentau,94,KZ,1602448467,95,51.62,73.1,5.88,4.12
173,pontianak,100,ID,1602448191,95,-0.03,109.33,24.14,1.96
236,madona,100,LV,1602448364,95,56.85,26.22,9.81,1.85
520,kisaran,100,ID,1602448453,95,2.98,99.62,23.95,0.81
416,egvekinot,100,RU,1602448414,95,66.32,-179.17,-2.57,7.22
